$ sudo ./detect_tls.py
Starting to trace...
PID    COMM         LIB        LOCAL                    REMOTE                  
1007   snapd        Other      192.168.1.210:46778      91.189.92.41:443        
1007   snapd        Other      192.168.1.210:46778      91.189.92.41:443        
1007   snapd        Other      192.168.1.210:46778      91.189.92.41:443        
1007   snapd        Other      192.168.1.210:46778      91.189.92.41:443        
1007   snapd        Other      192.168.1.210:46778      91.189.92.41:443        
1007   snapd        Other      192.168.1.210:46778      91.189.92.41:443        
1007   snapd        Other      192.168.1.210:46778      91.189.92.41:443        
1007   snapd        Other      192.168.1.210:46778      91.189.92.41:443        
1007   snapd        Other      192.168.1.210:46778      91.189.92.41:443        
1007   snapd        Other      192.168.1.210:46778      91.189.92.41:443        
1007   snapd        Other      192.168.1.210:46778      91.189.92.41:443        
1007   snapd        Other      192.168.1.210:46778      91.189.92.41:443        
1007   snapd        Other      192.168.1.210:46778      91.189.92.41:443        
1007   snapd        Other      192.168.1.210:46778      91.189.92.41:443        
1007   snapd        Other      192.168.1.210:46778      91.189.92.41:443        
1007   snapd        Other      192.168.1.210:46778      91.189.92.41:443        
1007   snapd        Other      192.168.1.210:46778      91.189.92.41:443        
1007   snapd        Other      192.168.1.210:46778      91.189.92.41:443        
1007   snapd        Other      192.168.1.210:46778      91.189.92.41:443        
1007   snapd        Other      192.168.1.210:46778      91.189.92.41:443        
1007   snapd        Other      192.168.1.210:46778      91.189.92.41:443        
1007   snapd        Other      192.168.1.210:46778      91.189.92.41:443        
1007   snapd        Other      192.168.1.210:46778      91.189.92.41:443        
1007   snapd        Other      192.168.1.210:46778      91.189.92.41:443        
1007   snapd        Other      192.168.1.210:46778      91.189.92.41:443        
1007   snapd        Other      192.168.1.210:46778      91.189.92.41:443        
1007   snapd        Other      192.168.1.210:46778      91.189.92.41:443        
1007   snapd        Other      192.168.1.210:46778      91.189.92.41:443        
1007   snapd        Other      192.168.1.210:46778      91.189.92.41:443        
1007   snapd        Other      192.168.1.210:46778      91.189.92.41:443        
1007   snapd        Other      192.168.1.210:46778      91.189.92.41:443        
